word,value
berterima,-3.0
bertetesan,-3.0
bertian,-3.0
bertikai,-5.0
bertikai pangkai,-4.0
bertimbal,-3.0
bertimbang,-3.0
bertimpa-timpa,-3.0
bertindak,-4.0
bertindik,-3.0
bertingkat,-1.5
bertingkuh,-4.0
bertinju,-4.0
bertitikan,-3.0
bertokok,-3.0
bertolak,-2.0
bertonggakkan,-4.0
bertransformasi,-3.0
bertuah,-3.0
bertubrukan,-4.0
bertudung lingkup,-5.0
bertukar akal,-1.5
bertumbangan,-3.0
bertumbuk,-4.0
bertumbukan,-4.0
bertumpuk,0.0
bertunangan,-0.5
bertunjangkan,-4.0
berubah akal,-2.0
berubah ingatan,-3.0
berugi,-5.0
berulah,-4.0
berumah tangga,-1.0
berumpun,-3.0
berumur,-2.0
beruntun,-3.0
berurine,-3.0
berus,-4.0
berusaha,0.0
berusuh,-5.0
berwarna,-3.0
berziarah,-4.0
berzina,-4.0
besar perut,-3.0
besar rabu,-3.0
besi tua,-4.0
besit,-2.0
besot,-3.0
beta,-3.0
betas,-3.0
bete,-5.0
beterbangan,-0.5
beterjunan,-5.0
betina,-2.0
beton,-2.0
betul,-1.0
betung,-3.0
beud,-2.0
bhay,-3.0
biadab,-1.0
biak,-3.0
biang keladi,-0.5
biar,-1.0
biarawati,-3.0
biarin,-3.0
biarkan,-1.0
biarpun,-3.0
bias,-2.0
biasa,-1.0
biasin,-3.0
bicu,-3.0
bidah,-3.0
bidai,-4.0
bidas,-5.0
bidik,-2.0
bijak,-0.5
bijaksana,-1.5
biji buah,-3.0
biji mata,-3.0
bijih,0.0
biksah,-5.0
bilik,-3.0
bimbang,-5.0
bimbing,0.0
bimbingan,-3.0
binasa,-1.0
bingit,-5.0
bini gelap,-5.0
bir,-5.0
birah,-3.0
birokrat,-3.0
bisain,-2.0
bisik,-2.0
bison,-3.0
bisu,-1.0
bisul,-4.0
biut,-5.0
blangko,-3.0
blaster,-3.0
blobor,-3.0
block,-4.0
blokir,-3.0
bloon,-3.0
blur,-4.0
bobol,-4.0
bobot,-1.5
bobrok,-5.0
bobroq,-4.0
bocor,-4.0
bodo,-5.0
bodoamat,-4.0
bogem,-5.0
bogem mentah,-5.0
bogum,-3.0
bohong,-5.0
bokek,-5.0
bokep,-5.0
boker,-3.0
boksen,-5.0
boleh juga,-3.0
bolong,-3.0
bolos,-3.0
bolsak,-4.0
bom,0.0
bombastis,-0.5
bondong,-4.0
bondot,-5.0
bongak,-5.0
bonggol,-4.0
bongkah,-2.0
bongkak,-3.0
bongkar,-3.0
bongkar-bangkir,-5.0
bongkong,-3.0
bongok,-3.0
bongsor,-2.0
boong,-4.0
bopong,-1.0
borak,-4.0
boro,-2.0
borok,-5.0
boros,-5.0
bosen,-4.0
bosman,-4.0
bosun,-4.0
bot,-2.0
boyak,-5.0
brengsek,-5.0
