word,big
belia,-0.4
beliin,-0.2
belikan,-0.2
beling,-0.2
belingsat,-0.8
belinjo,-0.6
belis,-0.8
belit,-0.6
beloh,-0.875
belongkotan,-0.75
beloon,-0.6
belot,-0.655
belu-belai,-0.8
belulang,-0.6
benah hati,-0.6
benak,-0.5
bencana,-1.0
bencat,-1.0
benci,-0.5
bencong,-1.0
bendel,-1.0
bendera,-0.6
benderang,-0.6
bendoro,-0.8
bendu,-0.8
bendung,-0.6
bengah,-0.75
bengal,-0.7150000000000001
bengap,-0.6
bengis,-0.75
bengkak,-0.775
bengkak hati,-0.6
bengkeng,-0.63
bengkerap,-0.8
bengkok,-0.7150000000000001
bengkong,-0.63
bengok,-0.745
benguk,-0.605
bening,-0.8
benjut,-0.8
bentak,-1.0
bentakan,-1.0
bentan,-0.8
bentang,-0.3
bentrok,-1.0
bentul,-0.6
benyai,-0.5
benyek,-0.5
benyot,-0.8
beol,-1.0
beperkara,-0.8
beracun,-0.63
beradu,-0.8
beradu lidah,-0.6
beradu mulut,-0.8
beraduk,-0.6
beragam,-0.6
berair,-0.2
berak,-0.8
berak air,-0.8
berakar,-0.3
berakhlak,-0.8
beralasan,-0.8
beralaskan,-0.8
beralih,-0.6
beralih bentuk,-0.6
berambu-rambu,-0.8
beramuk,-0.8
beramuk-amukan,-0.8
beranak bercucu,-0.6
beranak cucu,-0.6
beranak pinak,-0.6
beranang,-0.6
beranda,-0.3
berandalan,-1.0
berang,-0.75
berangai,-1.0
berangan,-0.6
beranggar lidah,-0.6
berangkal,-0.6
berangkat,-0.8
berangsang,-1.0
berangsur,-0.6
beranjak,-0.6
berantak,-0.8
berantakan,-0.815
berantara,-0.6
berantem,-0.8
berapat-rapat,-0.6
berapit,-0.8
berasa,-0.4
berasak,-0.6
berasal,-0.6
berasap,-0.5
berasimilasi,-0.6
berat,-0.56
berat ekor,-0.8
berat hati,-0.8
berat kepala,-1.0
berat otak,-0.8400000000000001
berat pinggul,-0.4
berat tangan,-0.8
berat telinga,-0.6
berat tulang,-0.8
berawan,-0.675
berbabil,-0.8
berbadan dua,-0.6
berbahaya,-0.7250000000000001
berbakti,-0.6
berbalik,-1.0
berbanding,-0.6
berbantah,-0.565
berbantahan,-0.6
berbau,-0.75
berbayar,-0.6
berbecak-becak,-0.6
berbeda,-0.8
berbelit-belit,-0.5900000000000001
berbenturan,-0.8
berbiak,-0.6
berbicara,-0.6
berbisa,-0.815
berbohong,-0.8
berbondong-bondong,-0.6
berburu,-0.6
berburuk,-0.8
bercak,-1.0
bercakar-cakaran,-0.8
bercampur baur,-0.75
bercamuk,-0.5
bercanda,-0.8
bercanggah,-0.31
bercaran,-0.8
bercat,-0.6
bercedera,-0.8
bercekak,-0.6
bercekcok,-0.8
bercekit,-0.8
bercelah,-0.6
berceloteh,-0.8
bercempera,-1.0
bercengkerama,-0.4
bercerai-berai,-1.0
bercikun-cikun,-1.0
bercintaan,-0.6
bercokol,-0.4
bercorak,-0.6
bercucuran,-1.0
bercumbu,-0.8
bercumbu-cumbu,-0.6
bercumbuan,-0.6
bercura,-0.8
berdakwa,-0.8
berdalih,-0.8
berdampingan,-0.6
berdansa,-0.4
berdarah dingin,-0.8
berdasarkan,-0.8
berdebat,-1.0
berdedikasi,-0.6
berdekatan,-0.8
berdekus,-0.6
berdengung,-0.6
berdengus,-0.6
berdenyut,-0.45
berderum,-0.8
berdesakan,-0.6
berdesir,-0.4
berdikari,-0.63
berdikit-dikit,-0.6
berdompol,-0.8
berdosa,-0.775
berduaan,-0.6
berduka,-0.94
berdukacita,-0.75
berdusta,-0.8
berduyun-duyun,-0.6
beredak,-1.0
beregu,-0.6
berengsaan,-0.8
berengsek,-1.0
berenti,-0.6
berfalsafah,-0.5
berfoya-foya,-0.63
bergabung,-0.8
bergadang,-0.8
bergaduh,-1.0
bergajul,-1.0
bergamit,-0.6
berganda,-0.6
berganduh,-0.6
berganggang,-0.6
bergaung,-0.6
bergejolak,-0.6
bergelandangan,-0.75
bergelanggang,-0.3
bergelegak,-0.6
bergelombang,-0.63
